"language"	"condition"	"block"	"trial_type"	"n"	"mean"	"median"	"sd"	"sem"	"ci_lower"	"ci_high"
"1"	"cat"	"forpul"	1	"familiar"	14	10683	10970.5	3931.53878173772	1050.74793743408	8623.57188579945	12742.4281142005
"2"	"cat"	"forpul"	1	"novel"	14	12495.0357142857	13365.25	4851.59163203283	1296.64240482902	9953.66329999343	15036.408128578
"3"	"cat"	"forpul"	2	"familiar"	14	8130.46428571429	8537.5	3211.75157378389	858.376714323666	6448.07684047207	9812.8517309565
"4"	"cat"	"forpul"	2	"novel"	14	8771.53571428571	8641.25	3935.36208120229	1051.76975719719	6710.10487015079	10832.9665584206
"5"	"cat"	"forpul"	3	"familiar"	14	7381.46428571429	7583	3553.71498718803	949.770280878669	5519.9487416056	9242.97982982297
"6"	"cat"	"forpul"	3	"novel"	14	7859.32142857143	8137.75	3299.22937160007	881.756139207781	6131.11115257709	9587.53170456577
"7"	"cat"	"gonmus"	1	"familiar"	9	13276.3888888889	13567	4353.80598426378	1451.26866142126	10431.9545806116	16120.8231971662
"8"	"cat"	"gonmus"	1	"novel"	9	11937.8888888889	11783.5	2893.90609490203	964.635364967343	10047.2383153392	13828.5394624385
"9"	"cat"	"gonmus"	2	"familiar"	9	8885.11111111111	9668.5	3274.24530214386	1091.41510071462	6745.9768215273	11024.2454006949
"10"	"cat"	"gonmus"	2	"novel"	9	8137.94444444444	8212.5	2996.87655572894	998.958851909648	6180.02107266405	10095.8678162248
"11"	"cat"	"gonmus"	3	"familiar"	9	6257.16666666667	4919	3147.39015892533	1049.13005297511	4200.90954773685	8313.42378559648
"12"	"cat"	"gonmus"	3	"novel"	9	9129.55555555555	8591	3913.1552282369	1304.38507607897	6573.00778446924	11686.1033266419
"13"	"spa"	"forpul"	1	"familiar"	7	13306.7142857143	14479.5	4755.44658660943	1797.38986303136	9783.89488799544	16829.5336834331
"14"	"spa"	"forpul"	1	"novel"	7	13465.8571428571	11767.5	3723.45136392619	1407.33233254185	10707.5364567964	16224.1778289179
"15"	"spa"	"forpul"	2	"familiar"	7	10873.2142857143	11245.5	3247.13895679903	1227.30316459428	8467.74428499747	13278.6842864311
"16"	"spa"	"forpul"	2	"novel"	7	10519.9285714286	10594	6187.98091348982	2338.83694495834	5935.89239359855	15103.9647492586
"17"	"spa"	"forpul"	3	"familiar"	7	8399.57142857143	7735	3634.80184499526	1373.8259638366	5706.92201842567	11092.2208387172
"18"	"spa"	"forpul"	3	"novel"	7	7881.35714285714	6985.5	2085.35939576942	788.19176505683	6336.5296704347	9426.18461527959
"19"	"spa"	"gonmus"	1	"familiar"	6	13238	13481.75	3813.0786118306	1556.68282468416	10186.957728267	16289.042271733
"20"	"spa"	"gonmus"	1	"novel"	6	14191	15043.75	3257.31811464585	1329.79455180114	11584.6505716322	16797.3494283678
"21"	"spa"	"gonmus"	2	"familiar"	6	11558.6666666667	11917.25	3661.64315119137	1494.85955676259	8628.79577346648	14488.5375598668
"22"	"spa"	"gonmus"	2	"novel"	6	9947.08333333333	8371.25	3594.18653406674	1467.32050814098	7071.1879836	12822.9786830667
"23"	"spa"	"gonmus"	3	"familiar"	6	7422.5	6886.75	3757.47224873318	1533.98162201073	4415.95126791264	10429.0487320874
"24"	"spa"	"gonmus"	3	"novel"	6	8945.91666666667	9405.25	3004.45513224389	1226.56367151395	6541.89604575411	11349.9372875792
