frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.00006	4	1523.043	179.025	2800.112	441.322	4010.099	207.654	5401.306	490.978	--undefined--	--undefined--
2	0.026	0.00006	4	1525.753	187.337	2817.382	464.763	4006.959	228.262	5435.565	543.417	--undefined--	--undefined--
3	0.027	0.00006	4	117.794	3210.090	1525.433	200.297	2834.734	481.632	4005.504	246.908	--undefined--	--undefined--
4	0.028	0.00006	4	574.367	3305.521	1519.529	218.046	2849.492	484.442	4005.532	259.934	--undefined--	--undefined--
5	0.029	0.00006	5	944.888	3259.991	1505.150	238.203	2858.829	471.543	4006.051	266.209	5397.074	666.123
6	0.030	0.00008	5	1258.921	3115.598	1481.922	253.010	2861.536	448.676	4006.232	268.411	5332.173	648.781
7	0.031	0.0002	5	1456.297	253.236	1487.582	2978.004	2858.624	424.344	4006.131	271.133	5290.156	611.944
8	0.032	0.0002	5	1438.281	240.476	1629.789	2895.563	2852.572	405.186	4006.295	277.768	5268.909	572.271
9	0.033	0.0002	5	1431.789	224.582	1702.228	2857.890	2845.523	395.023	4007.156	289.465	5260.772	538.891
10	0.034	0.0002	5	1434.483	211.779	1725.016	2867.422	2837.983	394.652	4008.689	305.769	5259.698	516.852
11	0.035	0.0002	5	1442.964	203.422	1706.225	2967.159	2829.268	401.968	4010.369	324.811	5262.646	509.484
12	0.036	0.0002	5	1455.113	199.017	1627.752	3237.527	2818.622	412.886	4011.442	343.266	5268.338	518.314
13	0.037	0.0002	5	1402.835	3828.367	1469.928	197.731	2806.252	422.802	4011.355	357.170	5276.013	542.767
14	0.038	0.0002	4	1486.762	199.035	2793.844	429.139	4010.193	363.446	5284.071	579.148	--undefined--	--undefined--
15	0.039	0.0002	4	1505.033	203.550	2783.788	433.482	4008.800	361.143	5287.946	618.234	--undefined--	--undefined--
16	0.040	0.0002	4	1524.641	213.298	2777.723	440.284	4008.193	351.673	5279.344	643.785	--undefined--	--undefined--
17	0.041	0.0002	4	1546.243	230.332	2776.096	453.102	4008.671	337.939	5253.610	639.300	--undefined--	--undefined--
18	0.042	0.0002	4	1570.516	254.360	2778.583	471.526	4009.485	323.066	5218.589	603.259	--undefined--	--undefined--
19	0.043	0.0002	4	1596.350	280.491	2783.895	489.935	4009.261	309.898	5186.902	551.512	--undefined--	--undefined--
20	0.044	0.0002	4	1618.938	299.603	2788.801	499.563	4006.682	301.236	5166.377	502.811	--undefined--	--undefined--
21	0.045	0.0002	4	1630.918	303.704	2788.962	494.629	4001.005	299.718	5160.327	468.891	--undefined--	--undefined--
22	0.046	0.0002	4	1628.031	290.857	2782.770	476.243	3992.182	306.810	5169.337	453.134	--undefined--	--undefined--
23	0.047	0.0004	4	1612.795	264.147	2772.933	450.028	3980.653	321.667	5191.324	452.372	--undefined--	--undefined--
24	0.048	0.0004	4	1591.720	229.463	2763.508	422.731	3967.278	340.854	5221.669	459.966	--undefined--	--undefined--
25	0.049	0.0004	4	1570.781	193.677	2756.824	399.979	3953.533	359.136	5254.395	469.433	--undefined--	--undefined--
26	0.050	0.0006	4	1553.460	162.178	2752.981	384.718	3941.270	371.454	5283.826	477.241	--undefined--	--undefined--
27	0.051	0.0006	4	1540.933	137.558	2750.749	377.184	3931.683	375.589	5305.991	483.347	--undefined--	--undefined--
28	0.052	0.0006	4	1532.908	120.066	2748.566	376.089	3924.554	373.217	5319.180	489.407	--undefined--	--undefined--
29	0.053	0.0006	4	1528.501	108.673	2745.140	379.692	3918.672	368.185	5323.709	497.092	--undefined--	--undefined--
30	0.054	0.0006	4	1526.881	101.879	2739.487	386.142	3912.593	364.325	5321.588	508.397	--undefined--	--undefined--
31	0.055	0.0006	4	1527.529	98.087	2730.665	393.595	3904.986	364.685	5315.978	526.663	--undefined--	--undefined--
32	0.056	0.0006	4	1530.160	95.912	2717.963	400.591	3894.793	371.508	5310.192	556.290	--undefined--	--undefined--
