frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.0001	5	255.980	28.022	1357.722	631.897	2312.074	120.487	4108.968	200.044	4472.650	749.291
2	0.026	0.0001	5	254.812	28.471	1376.167	707.221	2305.933	123.181	4104.854	199.920	4474.083	760.145
3	0.027	0.0001	5	253.722	29.187	1402.274	786.175	2302.300	126.809	4103.418	198.730	4476.479	801.436
4	0.028	0.0001	5	252.763	30.330	1436.673	860.159	2301.217	131.011	4105.931	195.063	4481.827	886.439
5	0.029	0.0001	5	251.988	32.117	1476.967	921.554	2302.223	135.527	4111.879	187.259	4494.831	1025.734
6	0.030	0.0001	5	251.426	34.765	1518.641	969.392	2304.543	140.349	4119.388	175.282	4523.244	1226.386
7	0.031	0.0001	5	251.066	38.371	1557.693	1008.776	2307.484	145.601	4126.790	161.294	4578.261	1493.201
8	0.032	0.0001	5	250.842	42.818	1592.008	1045.233	2310.680	151.334	4133.445	147.862	4678.423	1830.591
9	0.033	0.0001	5	250.650	47.766	1620.430	1080.554	2314.078	157.393	4139.352	136.600	4864.293	2239.966
10	0.034	0.0001	5	250.372	52.684	1640.948	1112.480	2317.788	163.390	4144.590	128.211	5355.484	2706.219
11	0.035	0.0001	4	249.906	56.922	1649.580	1136.708	2321.935	168.785	4149.056	122.983	--undefined--	--undefined--
12	0.036	0.0001	4	249.183	59.825	1641.126	1148.748	2326.569	173.050	4152.404	121.181	--undefined--	--undefined--
13	0.037	0.0001	4	248.187	60.903	1612.281	1143.485	2331.680	175.848	4154.123	123.175	--undefined--	--undefined--
14	0.038	0.0001	5	246.966	60.009	1565.779	1114.973	2337.292	177.119	4153.731	129.300	5261.613	2987.359
15	0.039	0.0001	5	245.627	57.446	1511.310	1062.420	2343.515	177.038	4151.038	139.359	4701.759	2480.750
16	0.040	0.0002	5	244.312	53.882	1459.903	996.046	2350.419	175.979	4146.311	151.931	4476.949	2029.376
17	0.041	0.0002	5	243.148	50.099	1417.706	931.457	2357.797	174.572	4140.090	163.919	4367.629	1690.757
