frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.0003	5	470.775	503.935	491.148	283.843	3056.018	133.726	3658.445	834.710	4156.396	318.937
2	0.026	0.0003	5	442.244	347.591	540.136	392.432	3057.510	129.971	3649.250	784.421	4151.156	298.739
3	0.027	0.0003	5	413.379	317.831	587.671	375.618	3057.492	128.125	3637.974	731.863	4147.214	280.841
4	0.028	0.0003	5	396.576	294.493	621.360	352.722	3056.234	128.233	3625.184	677.222	4144.706	264.505
5	0.029	0.0003	5	384.011	273.762	649.257	326.373	3054.169	129.926	3612.890	623.751	4143.159	249.780
6	0.030	0.0003	5	373.604	254.120	673.528	297.586	3051.698	132.731	3602.993	575.217	4142.064	237.207
7	0.031	0.0003	5	364.518	235.074	694.889	267.367	3049.043	136.286	3596.489	534.143	4141.165	227.370
8	0.032	0.0003	5	356.332	216.614	713.579	236.974	3046.151	140.381	3593.438	501.278	4140.472	220.575
9	0.033	0.0003	5	348.779	198.887	729.763	207.725	3042.696	144.822	3593.278	475.897	4140.161	216.729
10	0.034	0.0003	5	341.688	182.017	743.673	180.704	3038.213	149.201	3595.131	456.430	4140.465	215.339
11	0.035	0.0003	5	334.986	166.025	755.604	156.578	3032.389	152.715	3598.000	441.193	4141.581	215.631
12	0.036	0.0003	5	328.714	150.847	765.861	135.602	3025.450	154.192	3600.896	429.141	4143.571	216.813
13	0.037	0.0003	5	323.018	136.437	774.715	117.743	3018.376	152.493	3602.958	420.312	4146.283	218.495
14	0.038	0.0003	5	318.088	122.878	782.409	102.828	3012.586	147.133	3603.683	415.544	4149.415	221.141
15	0.039	0.0003	5	314.069	110.418	789.195	90.626	3009.059	138.580	3603.268	415.519	4152.745	226.351
16	0.040	0.0003	5	310.982	99.396	795.371	80.885	3007.646	127.959	3602.789	419.942	4156.357	236.871
17	0.041	0.0003	5	308.706	90.146	801.274	73.373	3007.200	116.597	3603.811	427.324	4160.683	256.469
18	0.042	0.0003	5	307.023	82.890	807.223	67.898	3006.312	105.732	3607.493	434.907	4166.442	289.754
19	0.043	0.0003	5	305.691	77.664	813.438	64.273	3003.994	96.391	3613.609	438.427	4174.651	341.555
20	0.044	0.0003	5	304.497	74.287	819.963	62.272	2999.957	89.341	3619.741	432.756	4186.653	414.287
21	0.045	0.0003	5	303.301	72.411	826.655	61.618	2994.516	85.167	3621.242	415.547	4203.209	500.895
22	0.046	0.0003	5	302.041	71.577	833.216	61.972	2988.296	84.435	3613.506	391.953	4221.217	576.416
23	0.047	0.0003	5	300.731	71.263	839.279	62.899	2981.899	87.764	3595.186	371.065	4232.330	604.813
24	0.048	0.0003	5	299.450	70.970	844.523	63.879	2975.643	95.552	3568.052	355.275	4231.366	569.304
25	0.049	0.0003	5	298.316	70.404	848.817	64.437	2969.579	107.465	3536.349	338.532	4223.147	492.329
26	0.050	0.0003	5	297.433	69.591	852.297	64.312	2963.832	122.438	3506.425	316.749	4215.232	411.677
27	0.051	0.0003	5	296.839	68.832	855.335	63.544	2958.914	139.530	3483.224	293.566	4211.194	349.592
28	0.052	0.0003	5	296.492	68.559	858.388	62.412	2955.484	158.895	3467.978	274.808	4211.228	310.456
29	0.053	0.0003	5	296.287	69.181	861.800	61.264	2953.710	182.048	3459.212	263.258	4213.857	290.411
30	0.054	0.0003	5	296.119	71.039	865.694	60.394	2952.765	211.627	3454.289	258.134	4216.817	283.226
31	0.055	0.0003	5	295.936	74.449	869.993	60.026	2950.643	251.192	3450.302	256.266	4217.721	282.040
32	0.056	0.0003	5	295.757	79.734	874.519	60.322	2943.926	304.622	3444.848	252.925	4214.889	279.871
33	0.057	0.0003	5	295.665	87.132	879.074	61.339	2927.449	373.402	3437.269	242.842	4208.281	270.837
34	0.058	0.0003	5	295.769	96.589	883.484	62.929	2895.446	450.819	3429.539	223.609	4199.779	252.539
35	0.059	0.0003	5	296.152	107.584	887.620	64.718	2846.442	519.602	3424.346	199.379	4192.069	227.651
36	0.060	0.0003	5	296.852	119.214	891.430	66.229	2787.353	562.945	3422.112	177.574	4186.967	202.137
37	0.061	0.0003	5	297.856	130.630	894.946	67.141	2729.764	577.277	3421.442	163.081	4184.859	181.493
38	0.062	0.0003	5	299.092	141.405	898.261	67.408	2683.191	570.768	3420.825	157.613	4185.212	168.716
39	0.063	0.0003	5	300.448	151.482	901.465	67.165	2652.264	554.145	3419.055	161.461	4187.128	164.658
40	0.064	0.0003	5	301.810	160.858	904.625	66.570	2637.527	535.145	3414.974	174.642	4189.640	169.157
41	0.065	0.0003	5	303.104	169.408	907.797	65.759	2637.069	518.213	3407.352	197.233	4191.864	181.793
42	0.066	0.0003	5	304.322	176.934	911.051	64.875	2647.819	506.100	3395.030	229.320	4193.090	202.151
43	0.067	0.0003	5	305.515	183.345	914.485	64.121	2666.593	501.127	3377.166	270.933	4192.785	229.774
44	0.068	0.0003	5	306.768	188.839	918.238	63.779	2691.062	505.677	3353.397	322.253	4190.539	263.929
45	0.069	0.0003	5	308.161	193.983	922.459	64.214	2720.614	521.926	3323.793	384.123	4186.041	303.132
46	0.070	0.0003	5	309.730	199.536	927.285	65.824	2756.994	550.520	3288.531	458.658	4179.314	344.767
47	0.071	0.0003	5	311.460	205.988	932.812	68.946	2804.481	587.433	3247.251	549.805	4171.253	385.955
48	0.072	0.0003	5	313.289	213.012	939.100	73.746	2868.743	617.098	3198.568	665.631	4163.983	426.161
49	0.073	0.0003	5	315.136	219.238	946.189	80.190	2945.429	596.963	3148.247	829.356	4160.567	468.315
50	0.074	0.0003	5	316.910	222.665	954.145	88.152	2993.141	548.085	3131.904	990.073	4164.830	514.914
51	0.075	0.0003	5	318.512	221.625	963.129	97.680	3042.145	558.910	3104.756	1033.671	4181.135	560.364
52	0.076	0.0003	5	319.855	215.600	973.497	109.271	3007.700	1053.459	3136.073	538.487	4210.611	585.390
53	0.077	0.0003	5	320.887	205.186	985.885	123.984	2908.425	1140.903	3204.579	427.120	4245.107	567.660
54	0.078	0.0003	5	321.594	191.312	1001.279	143.276	2824.664	1225.854	3240.982	325.207	4271.542	504.631
55	0.079	0.0004	5	321.935	174.338	1020.978	168.366	2754.121	1297.731	3260.879	250.212	4283.325	415.187
56	0.080	0.0004	5	321.744	153.865	1046.272	198.946	2698.459	1341.263	3272.383	199.988	4282.746	322.761
57	0.081	0.0004	5	320.754	129.891	1077.664	231.911	2660.724	1331.698	3279.598	168.990	4275.831	242.951
58	0.082	0.0004	5	318.873	104.239	1114.137	261.800	2643.546	1253.738	3284.684	152.480	4267.589	181.407
59	0.083	0.0004	5	316.451	80.181	1153.315	283.458	2645.599	1118.766	3288.982	147.161	4260.601	137.255
60	0.084	0.0004	5	314.094	60.506	1192.431	294.948	2660.455	958.960	3293.440	150.883	4255.703	107.087
61	0.085	0.0004	5	312.281	46.219	1229.020	297.970	2679.886	807.275	3298.557	162.500	4252.936	87.401
62	0.086	0.0004	5	311.186	36.786	1261.191	295.304	2698.049	684.030	3304.240	182.298	4252.095	75.509
63	0.087	0.0004	5	310.758	31.075	1287.828	288.158	2713.047	595.675	3309.927	212.721	4252.942	69.639
64	0.088	0.0004	5	310.856	28.051	1308.597	276.324	2725.954	540.000	3314.866	258.837	4255.206	68.817
65	0.089	0.0004	5	311.338	27.002	1323.961	260.422	2739.443	511.425	3318.093	328.477	4258.480	72.742
66	0.090	0.0004	5	312.090	27.472	1335.321	242.926	2757.193	503.200	3318.002	431.943	4262.072	81.614
67	0.091	0.0004	5	313.030	29.148	1344.745	226.841	2783.557	506.731	3311.688	579.793	4264.948	95.760
68	0.092	0.0004	5	314.107	31.783	1354.295	214.209	2822.465	510.636	3294.214	776.690	4265.980	115.077
69	0.093	0.0004	5	315.289	35.150	1365.563	205.804	2875.913	501.088	3258.354	1015.644	4264.591	138.893
70	0.094	0.0004	5	316.555	38.996	1379.605	201.347	2939.231	459.604	3201.429	1287.140	4261.034	166.812
71	0.095	0.0004	5	317.888	42.987	1396.932	199.663	2994.353	386.290	3138.138	1569.913	4255.761	199.348
72	0.096	0.0004	5	319.252	46.718	1417.364	199.125	3032.050	311.476	3079.867	1817.301	4249.201	237.470
73	0.097	0.0004	5	320.593	49.816	1439.967	198.239	3026.556	1989.772	3056.035	252.631	4242.494	282.034
74	0.098	0.0004	5	321.855	52.063	1463.157	195.917	2976.167	2063.844	3071.663	211.894	4237.950	333.333
75	0.099	0.0004	5	323.009	53.473	1485.039	191.632	2927.971	2039.354	3082.930	185.779	4238.636	390.411
76	0.100	0.0004	5	324.062	54.276	1504.012	185.554	2881.732	1940.625	3092.307	169.922	4247.274	450.094
77	0.101	0.0004	5	325.053	54.788	1519.310	178.374	2836.730	1805.046	3101.063	160.545	4264.660	506.660
78	0.102	0.0004	5	326.018	55.252	1531.154	170.823	2792.810	1668.273	3109.530	154.870	4288.416	553.382
79	0.103	0.0004	5	326.967	55.759	1540.501	163.265	2751.455	1555.365	3117.409	151.493	4313.368	585.280
80	0.104	0.0004	5	327.872	56.274	1548.656	155.584	2715.054	1479.849	3124.224	150.500	4333.518	600.582
81	0.105	0.0004	5	328.679	56.722	1556.885	147.302	2685.432	1447.384	3129.710	152.938	4344.200	600.188
82	0.106	0.0004	5	329.314	57.053	1566.068	137.818	2663.046	1459.296	3133.878	160.047	4343.428	586.683
83	0.107	0.0004	5	329.705	57.274	1576.438	126.731	2647.022	1513.933	3136.910	172.900	4332.274	563.859
84	0.108	0.0004	5	329.792	57.471	1587.526	114.187	2635.898	1606.906	3139.055	192.587	4314.263	536.738
85	0.109	0.0004	5	329.542	57.830	1598.411	101.016	2629.311	1732.618	3140.500	220.844	4293.985	511.878
86	0.110	0.0004	5	328.951	58.602	1608.153	88.413	2630.900	1889.211	3140.958	260.828	4275.463	497.581
87	0.111	0.0004	5	328.044	59.985	1616.130	77.377	2652.329	2087.240	3138.726	317.353	4260.781	503.630
88	0.112	0.0004	5	326.878	61.899	1622.094	68.365	2718.654	2362.503	3128.995	394.479	4248.771	540.171
89	0.113	0.0004	5	325.530	63.784	1626.079	61.360	2878.662	2809.679	3102.552	484.099	4232.621	613.428
90	0.114	0.0004	5	324.102	64.643	1628.305	56.100	3055.557	545.262	3243.848	3722.801	4196.976	706.651
