frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.0003	5	323.746	808.936	523.164	191.297	3191.981	290.617	3403.534	839.749	4191.452	351.463
2	0.026	0.0003	5	331.969	778.861	530.110	194.183	3196.503	282.617	3379.570	831.981	4191.552	322.222
3	0.027	0.0003	5	347.919	732.116	536.427	201.796	3203.456	268.444	3363.082	835.205	4193.033	303.102
4	0.028	0.0003	5	367.920	667.097	543.367	215.652	3209.613	251.674	3356.802	844.143	4195.266	291.303
5	0.029	0.0003	5	386.565	584.524	553.261	237.449	3213.231	235.891	3361.386	854.983	4197.522	284.372
6	0.030	0.0003	5	396.498	490.153	570.854	265.379	3213.850	223.172	3375.407	866.357	4199.059	279.736
7	0.031	0.0003	5	393.181	404.020	599.049	283.640	3211.581	214.012	3396.466	879.340	4199.225	274.675
8	0.032	0.0003	5	383.972	341.012	629.811	280.852	3206.751	207.924	3422.183	896.787	4197.621	266.852
9	0.033	0.0003	5	374.854	295.442	657.130	265.006	3199.880	203.955	3450.723	922.370	4194.269	255.235
10	0.034	0.0003	5	366.840	260.833	680.281	243.835	3191.780	201.088	3480.744	959.612	4189.609	240.642
11	0.035	0.0003	5	359.903	233.767	699.653	221.449	3183.602	198.626	3510.823	1011.162	4184.278	225.207
12	0.036	0.0003	5	354.047	212.491	715.571	200.111	3176.697	196.488	3538.757	1078.148	4178.876	211.210
13	0.037	0.0003	5	349.375	196.064	728.222	181.142	3172.282	195.246	3561.257	1159.225	4173.914	200.372
14	0.038	0.0003	5	345.969	183.859	737.810	165.190	3171.117	195.851	3574.306	1249.259	4169.851	194.004
15	0.039	0.0003	5	343.775	175.256	744.686	152.288	3173.392	199.319	3573.923	1337.852	4167.123	193.468
16	0.040	0.0003	5	342.559	169.455	749.376	141.937	3178.844	206.583	3557.082	1408.746	4166.183	200.438
17	0.041	0.0003	5	341.963	165.427	752.519	133.286	3186.963	218.554	3522.814	1442.362	4167.609	216.795
18	0.042	0.0003	5	341.613	162.031	754.763	125.418	3197.220	236.255	3473.239	1423.249	4172.200	244.156
19	0.043	0.0003	5	341.227	158.311	756.671	117.674	3209.426	260.845	3413.233	1349.331	4180.809	282.877
20	0.044	0.0003	5	340.678	153.808	758.640	109.863	3224.344	293.087	3347.996	1235.440	4193.679	330.845
21	0.045	0.0003	5	339.984	148.671	760.876	102.234	3244.364	330.909	3280.273	1108.705	4209.549	383.506
22	0.046	0.0003	5	339.238	143.463	763.415	95.245	3211.118	1003.983	3271.843	362.493	4225.740	436.485
23	0.047	0.0003	5	338.541	138.836	766.183	89.306	3149.428	951.778	3299.573	371.128	4239.791	489.225
24	0.048	0.0003	5	337.958	135.301	769.064	84.662	3106.022	946.431	3317.269	366.868	4251.048	546.614
25	0.049	0.0003	5	337.503	133.161	771.935	81.402	3079.783	970.891	3326.313	364.579	4260.778	618.198
