frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.002	5	870.850	463.831	1452.922	188.277	2431.428	790.579	3694.356	1715.200	4502.830	562.288
2	0.026	0.002	5	861.432	463.481	1453.316	176.690	2425.617	665.580	3759.062	1752.152	4514.503	588.153
3	0.027	0.002	5	855.091	461.507	1453.945	168.264	2421.237	577.184	3827.949	1712.265	4523.292	643.743
4	0.028	0.002	5	851.082	458.389	1454.765	163.826	2418.465	516.619	3888.759	1591.402	4533.812	736.361
5	0.029	0.002	5	848.884	455.463	1455.830	163.594	2417.616	476.924	3926.053	1406.530	4555.907	864.278
6	0.030	0.002	5	848.164	454.315	1457.258	167.412	2418.842	453.813	3927.854	1205.462	4598.662	995.589
7	0.031	0.002	5	848.720	456.390	1459.236	174.893	2422.272	445.165	3906.748	1044.365	4648.188	1086.246
8	0.032	0.002	5	850.416	462.819	1462.063	185.444	2428.137	450.316	3884.272	934.182	4682.937	1134.106
9	0.033	0.002	5	853.126	474.298	1466.163	198.241	2436.786	469.443	3870.394	866.254	4695.409	1155.500
10	0.034	0.002	5	856.722	491.003	1472.039	212.230	2448.716	502.984	3868.975	833.248	4687.848	1167.058
11	0.035	0.002	5	861.067	512.585	1480.140	226.197	2464.625	550.994	3883.062	829.488	4665.943	1186.816
12	0.036	0.002	5	865.959	538.149	1490.646	238.868	2485.411	612.249	3917.386	847.695	4634.009	1236.567
13	0.037	0.002	5	871.020	566.205	1503.267	249.040	2511.927	683.034	3979.497	869.879	4593.183	1349.319
14	0.038	0.002	5	875.643	594.759	1517.192	255.843	2544.264	756.146	4070.088	843.144	4553.782	1592.681
15	0.039	0.002	5	879.076	621.745	1531.263	259.126	2580.470	821.529	4144.945	732.454	4580.098	2015.413
16	0.040	0.002	5	880.689	645.875	1544.307	259.685	2615.524	870.004	4183.576	622.068	4739.068	2543.464
17	0.041	0.002	5	880.256	667.514	1555.438	259.085	2642.371	898.167	4205.669	541.734	5231.300	3150.127
18	0.042	0.002	4	878.009	688.924	1564.154	259.088	2654.985	908.325	4220.634	487.010	--undefined--	--undefined--
19	0.043	0.002	4	874.379	713.511	1570.277	260.951	2650.647	902.862	4232.022	452.563	--undefined--	--undefined--
20	0.044	0.002	4	869.740	744.562	1573.904	264.864	2630.958	880.759	4241.627	434.983	--undefined--	--undefined--
21	0.045	0.002	4	864.509	784.427	1575.512	269.791	2602.299	841.031	4250.708	432.834	--undefined--	--undefined--
22	0.046	0.002	4	859.282	834.442	1576.017	274.033	2573.379	789.161	4260.297	447.224	--undefined--	--undefined--
23	0.047	0.002	4	854.006	894.102	1576.384	276.039	2549.816	737.076	4271.284	482.526	--undefined--	--undefined--
24	0.048	0.002	4	846.443	957.864	1577.071	274.568	2531.461	695.751	4284.745	545.933	--undefined--	--undefined--
25	0.049	0.002	4	832.760	1012.335	1578.147	268.622	2514.784	669.293	4302.641	644.555	--undefined--	--undefined--
26	0.050	0.002	4	812.335	1041.691	1579.930	258.251	2496.912	654.212	4328.579	779.314	--undefined--	--undefined--
27	0.051	0.002	5	790.331	1040.925	1583.023	245.202	2478.161	643.334	4368.155	935.510	5063.685	3484.451
28	0.052	0.002	5	772.131	1017.252	1587.755	231.876	2460.907	632.255	4426.541	1069.103	4515.324	2759.479
29	0.053	0.001	5	759.205	978.315	1593.981	219.889	2446.125	621.441	4330.882	2390.391	4490.082	1108.120
30	0.054	0.001	5	750.605	928.156	1601.358	209.958	2432.470	613.463	4253.932	2239.841	4527.648	1052.412
31	0.055	0.001	5	745.019	870.989	1609.625	202.478	2417.933	611.456	4211.344	2173.170	4547.054	956.188
32	0.056	0.001	5	741.514	813.209	1618.732	197.803	2401.147	619.453	4161.386	2121.891	4564.194	847.386
33	0.057	0.001	5	739.547	762.157	1628.818	196.063	2381.648	642.900	4091.338	2053.858	4583.418	741.390
