frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.003	5	480.852	39.476	2153.575	130.413	2904.865	1419.463	3281.925	293.385	4389.895	375.069
2	0.026	0.003	5	481.871	36.025	2151.814	135.870	2849.541	1514.899	3288.348	282.046	4369.561	383.259
3	0.027	0.003	5	482.860	33.082	2151.211	138.498	2789.472	1591.501	3299.971	278.319	4347.266	393.208
4	0.028	0.003	5	483.650	30.581	2152.483	137.804	2726.024	1638.704	3317.256	281.181	4323.672	403.416
5	0.029	0.003	5	484.136	28.410	2155.615	134.984	2661.730	1646.248	3339.318	288.864	4300.498	410.157
6	0.030	0.003	5	484.262	26.448	2159.816	132.115	2601.990	1609.439	3363.704	299.744	4279.987	409.036
7	0.031	0.003	5	484.025	24.617	2163.970	130.952	2554.575	1534.514	3387.142	313.809	4263.747	397.774
8	0.032	0.003	5	483.462	22.917	2167.015	132.249	2526.633	1436.180	3407.031	333.341	4252.175	378.111
9	0.033	0.004	5	482.630	21.414	2168.102	135.588	2522.186	1329.913	3422.595	362.269	4244.985	355.335
10	0.034	0.004	5	481.589	20.195	2166.767	139.388	2541.927	1226.520	3435.132	405.516	4241.965	336.177
11	0.035	0.004	5	480.388	19.335	2163.259	141.388	2583.777	1129.694	3448.011	468.947	4243.215	326.945
12	0.036	0.004	5	479.073	18.868	2158.627	140.070	2641.830	1034.027	3467.143	557.862	4248.973	332.563
13	0.037	0.004	5	477.686	18.772	2154.100	135.897	2703.529	928.988	3501.471	668.880	4259.570	356.020
14	0.038	0.004	5	476.281	18.975	2150.369	130.697	2751.914	817.821	3557.569	773.887	4276.006	397.567
15	0.039	0.004	5	474.933	19.406	2147.577	126.193	2780.230	723.293	3624.783	828.990	4300.905	453.113
16	0.040	0.004	5	473.728	20.017	2145.661	123.360	2794.969	658.505	3679.017	821.562	4337.625	511.407
17	0.041	0.004	5	472.750	20.788	2144.534	122.587	2803.141	619.942	3706.641	778.108	4385.295	555.534
18	0.042	0.004	5	472.045	21.702	2144.121	123.980	2807.965	599.651	3711.593	729.182	4436.568	576.018
19	0.043	0.004	5	471.609	22.743	2144.373	127.517	2810.376	590.831	3703.803	688.521	4484.069	576.863
