frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.0009	5	359.348	215.497	1741.799	384.137	3186.230	239.671	3948.692	360.397	4364.366	142.808
2	0.026	0.0009	5	362.300	214.426	1746.854	381.237	3176.324	250.084	3953.592	365.340	4363.532	147.411
3	0.027	0.0009	5	364.698	214.283	1755.246	387.572	3162.743	268.033	3951.410	384.539	4359.390	151.998
4	0.028	0.0009	5	366.825	214.244	1766.285	402.728	3146.468	292.945	3941.989	419.420	4352.115	156.041
5	0.029	0.0009	5	368.991	212.779	1778.325	424.201	3128.888	323.361	3925.363	467.896	4342.676	159.032
6	0.030	0.0009	5	371.391	208.297	1788.931	447.365	3111.317	356.377	3903.031	522.197	4332.531	161.485
7	0.031	0.0009	5	374.009	199.808	1795.289	465.963	3094.420	387.083	3879.816	568.639	4322.802	165.455
8	0.032	0.0009	5	376.648	187.337	1795.041	473.800	3078.312	409.190	3863.755	592.824	4313.586	173.570
9	0.033	0.0009	5	379.081	172.016	1787.519	467.591	3063.734	418.129	3861.460	588.182	4304.132	187.122
10	0.034	0.001	5	381.191	155.683	1774.357	448.885	3052.733	414.557	3872.403	559.320	4293.754	204.196
11	0.035	0.003	5	382.994	140.113	1758.520	422.964	3047.156	403.513	3889.131	517.317	4282.778	218.876
12	0.036	0.003	5	384.553	126.496	1742.835	396.008	3046.795	390.151	3902.950	473.280	4272.600	223.551
13	0.037	0.003	5	385.916	115.432	1729.350	373.215	3049.202	377.482	3908.902	434.035	4264.647	214.402
14	0.038	0.003	5	387.090	107.130	1719.349	358.309	3050.804	367.058	3906.703	400.970	4259.397	194.531
15	0.039	0.003	5	388.033	101.477	1713.411	353.434	3048.424	359.975	3898.705	372.569	4256.439	170.646
16	0.040	0.003	5	388.675	98.033	1711.412	359.101	3040.360	356.788	3887.667	347.286	4255.132	148.159
17	0.041	0.003	5	388.941	96.119	1712.672	374.470	3026.569	357.038	3875.714	324.327	4255.036	129.593
18	0.042	0.003	5	388.792	95.047	1716.310	398.022	3008.236	359.301	3864.179	303.539	4255.928	115.436
19	0.043	0.003	5	388.248	94.351	1721.680	428.349	2987.302	361.776	3853.679	285.415	4257.687	105.314
20	0.044	0.003	5	387.395	93.904	1728.739	464.792	2966.077	363.045	3844.220	271.095	4260.194	98.697
21	0.045	0.003	5	386.363	93.874	1738.201	507.806	2946.766	362.689	3835.357	262.090	4263.236	95.141
22	0.046	0.003	5	385.305	94.582	1751.404	558.984	2930.761	361.511	3826.486	259.752	4266.399	94.276
23	0.047	0.003	5	384.362	96.334	1769.919	620.624	2918.114	361.208	3817.222	264.787	4269.006	95.743
24	0.048	0.003	5	383.641	99.280	1795.082	694.762	2907.761	363.655	3807.724	277.085	4270.187	99.197
25	0.049	0.003	5	383.196	103.344	1827.659	781.777	2898.456	370.179	3798.727	295.904	4269.158	104.342
26	0.050	0.003	5	383.026	108.232	1867.599	878.899	2889.661	381.149	3791.269	320.097	4265.606	110.826
27	0.051	0.003	5	383.082	113.480	1913.705	979.130	2881.917	395.944	3786.319	348.058	4260.044	117.982
28	0.052	0.003	5	383.298	118.492	1963.158	1071.205	2876.730	413.126	3784.616	377.271	4253.917	124.693
29	0.053	0.003	5	383.614	122.581	2011.221	1141.683	2876.181	430.655	3786.719	404.014	4249.222	129.698
30	0.054	0.003	5	384.003	125.048	2052.022	1180.164	2882.222	446.226	3792.903	424.300	4247.564	132.212
31	0.055	0.003	5	384.470	125.347	2080.902	1185.354	2895.703	457.706	3802.795	435.961	4249.263	132.259
32	0.056	0.003	5	385.030	123.235	2096.684	1165.990	2915.667	463.573	3815.262	439.771	4253.368	130.511
33	0.057	0.003	5	385.669	118.834	2101.835	1135.431	2939.483	463.499	3828.796	438.462	4258.450	127.928
34	0.058	0.003	5	386.344	112.622	2100.999	1105.920	2963.648	458.929	3841.896	435.144	4263.292	125.446
35	0.059	0.003	5	386.997	105.334	2099.554	1086.456	2984.699	453.088	3853.153	432.535	4267.087	123.806
36	0.060	0.003	5	387.579	97.787	2102.650	1082.924	2999.916	450.232	3861.224	432.805	4269.339	123.538
37	0.061	0.003	5	388.063	90.687	2114.262	1098.117	3007.836	454.413	3864.948	437.327	4269.758	125.007
38	0.062	0.003	5	388.427	84.508	2135.989	1131.024	3008.559	468.238	3863.607	446.100	4268.249	128.458
39	0.063	0.003	5	388.656	79.488	2165.960	1176.210	3003.774	492.001	3857.226	457.335	4264.940	134.046
40	0.064	0.003	5	388.733	75.691	2198.418	1224.197	2996.604	523.331	3846.819	467.885	4260.230	141.846
41	0.065	0.003	5	388.644	73.044	2224.415	1263.027	2991.414	557.295	3834.403	474.589	4254.823	151.804
42	0.066	0.003	5	388.375	71.339	2234.083	1281.220	2993.093	586.840	3822.547	475.543	4249.838	163.556
43	0.067	0.003	5	387.915	70.262	2220.618	1272.318	3004.800	603.562	3813.439	470.041	4246.942	176.061
44	0.068	0.003	5	387.273	69.486	2184.031	1237.905	3025.125	600.435	3807.935	457.592	4248.240	187.090
45	0.069	0.003	5	386.495	68.802	2130.928	1184.933	3048.516	576.986	3805.187	438.165	4255.451	193.056
46	0.070	0.003	5	385.662	68.211	2070.029	1120.587	3069.552	540.605	3803.482	413.916	4268.421	190.432
47	0.071	0.003	5	384.873	67.880	2007.869	1049.187	3086.001	501.025	3801.855	388.849	4284.703	178.663
48	0.072	0.003	5	384.210	67.959	1947.674	971.095	3098.256	464.824	3800.631	365.771	4301.267	160.966
49	0.073	0.003	5	383.715	68.394	1890.719	884.020	3107.688	434.599	3800.646	344.837	4316.261	141.690
50	0.074	0.003	5	383.407	68.865	1838.098	786.420	3115.770	410.877	3802.414	324.869	4329.154	123.855
51	0.075	0.003	5	383.332	68.920	1791.422	680.102	3123.895	393.975	3805.813	305.234	4340.059	108.815
52	0.076	0.003	5	383.607	68.223	1752.466	570.090	3133.246	384.846	3810.152	286.705	4349.216	96.956
53	0.077	0.003	5	384.432	66.827	1722.598	463.155	3144.290	385.340	3814.385	271.113	4356.800	88.323
54	0.078	0.003	5	386.061	65.356	1702.340	366.805	3155.788	398.353	3817.286	260.253	4362.887	82.875
55	0.079	0.003	5	388.736	65.008	1690.974	287.989	3163.606	427.585	3817.660	254.441	4367.477	80.428
56	0.080	0.003	5	392.623	67.295	1686.373	230.534	3160.167	475.474	3815.033	251.262	4370.589	80.475
57	0.081	0.003	5	397.765	73.527	1685.520	193.352	3136.137	537.381	3810.986	246.296	4372.458	82.191
58	0.082	0.003	5	404.078	84.239	1685.516	171.616	3086.114	595.795	3809.151	237.404	4373.572	84.868
59	0.083	0.003	5	411.397	98.855	1684.385	159.580	3015.209	628.166	3812.263	227.341	4374.402	88.433
60	0.084	0.003	5	419.581	116.001	1681.382	152.711	2937.168	625.775	3820.321	220.390	4375.173	93.427
61	0.085	0.002	5	428.645	134.312	1676.761	148.411	2865.017	598.047	3831.931	219.319	4376.024	100.613
62	0.086	0.002	5	438.771	153.049	1671.226	145.727	2805.419	560.414	3845.681	225.405	4377.207	110.634
63	0.087	0.002	5	450.237	172.106	1665.429	144.612	2759.554	524.046	3860.398	239.264	4379.046	123.798
64	0.088	0.002	5	463.308	191.657	1659.778	145.243	2726.101	493.821	3874.962	261.463	4381.716	139.891
65	0.089	0.002	5	478.158	211.854	1654.479	147.663	2703.285	470.383	3888.113	292.902	4385.065	157.980
66	0.090	0.002	5	494.842	232.711	1649.636	151.727	2689.602	452.530	3898.354	334.818	4388.668	176.347
67	0.091	0.002	5	513.318	254.022	1645.281	157.179	2683.650	438.706	3904.055	388.014	4392.188	192.772
68	0.092	0.002	5	533.494	275.148	1641.349	163.714	2683.696	427.551	3903.974	451.182	4395.804	205.486
