frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.0003	5	364.598	69.808	1727.430	277.454	3599.505	482.410	4046.732	282.171	4481.609	303.787
2	0.026	0.0003	5	367.179	62.441	1723.836	285.321	3617.942	535.267	4037.183	315.476	4461.812	311.863
3	0.027	0.0003	5	369.234	55.982	1718.707	298.373	3648.733	617.451	4018.052	364.580	4436.769	318.933
4	0.028	0.0003	5	370.569	51.036	1713.382	315.647	3708.238	761.338	3973.312	424.234	4406.227	318.461
5	0.029	0.0003	5	371.071	47.873	1710.997	332.118	3794.837	1089.659	3902.269	400.769	4375.300	304.766
6	0.030	0.0003	5	370.678	46.319	1715.218	336.869	3840.663	1538.085	3873.025	345.792	4352.064	290.110
7	0.031	0.0003	5	369.312	45.675	1724.975	318.828	3860.098	340.380	3877.323	1896.620	4337.555	298.863
8	0.032	0.0003	5	366.922	45.073	1733.670	280.556	3857.726	388.230	3892.194	1912.927	4330.420	349.142
9	0.033	0.0003	5	363.704	44.437	1738.860	236.256	3837.918	1517.958	3885.211	491.395	4338.734	449.593
10	0.034	0.0003	5	360.105	44.522	1743.060	197.272	3668.132	1107.428	3981.436	512.413	4389.633	549.397
11	0.035	0.0003	5	356.604	45.810	1747.381	168.051	3559.353	958.126	4020.118	424.444	4445.402	551.582
12	0.036	0.0003	5	353.638	48.102	1751.271	148.290	3511.626	884.440	4031.273	380.918	4472.852	521.005
13	0.037	0.0003	5	351.601	50.807	1754.240	136.028	3490.282	856.920	4035.204	366.044	4481.579	493.021
14	0.038	0.0003	5	350.766	53.261	1756.204	129.419	3482.804	866.059	4034.445	370.693	4478.903	472.030
15	0.039	0.0003	5	351.199	54.934	1757.270	127.168	3485.471	907.750	4028.008	391.700	4468.436	455.035
16	0.040	0.0003	5	352.725	55.567	1757.551	128.468	3499.043	982.487	4012.455	427.132	4452.617	436.886
17	0.041	0.0003	5	354.981	55.192	1757.043	132.822	3526.705	1097.594	3981.627	469.176	4434.641	412.782
18	0.042	0.0003	5	357.525	54.031	1755.552	139.861	3568.157	1272.176	3932.078	491.162	4418.678	382.743
19	0.043	0.0003	5	359.941	52.353	1752.639	149.149	3605.046	1515.525	3880.620	463.311	4406.890	353.286
20	0.044	0.0003	5	361.917	50.377	1747.677	159.962	3619.374	1775.920	3848.597	409.332	4397.595	331.051
21	0.045	0.0003	5	363.274	48.277	1740.174	171.076	3620.090	2000.304	3834.628	360.013	4387.559	318.121
22	0.046	0.0003	5	363.967	46.225	1730.353	180.716	3622.502	2178.177	3832.066	322.937	4374.524	312.858
23	0.047	0.0003	5	364.050	44.404	1719.604	187.008	3636.261	2329.653	3835.909	296.682	4358.139	311.822
24	0.048	0.0003	5	363.640	42.984	1710.237	188.933	3663.302	2487.210	3842.575	277.874	4339.479	311.132
25	0.049	0.0003	5	362.857	42.096	1704.455	186.900	3700.244	2677.984	3849.599	263.864	4320.279	307.320
26	0.050	0.0002	5	361.787	41.776	1703.285	182.322	3740.349	2907.242	3855.438	253.564	4302.673	298.195
27	0.051	0.0003	5	360.460	41.917	1706.305	176.730	3771.923	3142.700	3859.305	247.054	4289.012	283.647
28	0.052	0.0003	5	358.862	42.280	1712.151	171.302	3776.785	3308.912	3861.053	244.868	4281.258	265.560
