"time"	"f0"	"sentence"	"word"	"language"	"id"	"condition"
0.0180000000000001	242.127233913039	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.0640000000000001	220.632046300423	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.0910000000000001	219.493438450546	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.104	218.468334782226	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.21	202.858448071639	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.226	195.358607869943	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.462	369.189740149154	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.526	218.814949712355	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.564	230.963795095038	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.619	284.05010546306	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.86	253.962546874086	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.9	253.441457664893	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.914	252.519512461798	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.932	251.4242014968	"for_cat_1"	"for"	"catalan"	1	"forpul"
0.994	235.655170468779	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.112	192.217807710156	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.144	199.885479633055	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.216	201.983992126315	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.259	200.57196170544	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.285	191.710485839735	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.329	194.342757821912	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.384	212.518197215225	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.479	268.815994134698	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.511	247.274711548865	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.591	334.69843111298	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.669	322.378215302641	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.742	283.893549476007	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.829	243.605658858382	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.842	230.031220232189	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.932	188.747804565572	"for_cat_1"	"for"	"catalan"	1	"forpul"
1.946	198.85859860428	"for_cat_1"	"for"	"catalan"	1	"forpul"
2.022	176.96801433825	"for_cat_1"	"for"	"catalan"	1	"forpul"
2.055	169.997761697981	"for_cat_1"	"for"	"catalan"	1	"forpul"
